name,occupation,summary,birthday,deathday
Crystal Fox,Actor,In the Heat of the Night,?,-
David W. Fox,Business,"CEO of Northern Trust, 1990-95",c. 1931,-
Edward Fox,Actor,Force 10 from Navarone,13-Apr-1937,-
Emilia Fox,Actor,Nikki Alexander on Silent Witness,31-Jul-1974,-
Henry Richard Vassall Fox,Politician,3rd Baron Holland,21-Nov-1773,22-Oct-1840
James Fox,Actor,A Passage to India,19-May-1939,-
John Fox,Football,"Head Coach, Denver Broncos",08-Feb-1955,-
Jon D. Fox,Politician,"Congressman from Pennsylvania, 1995-99",22-Apr-1947,-
Jorja Fox,Actor,Sara Sidle on CSI,07-Jul-1968,-
Justin Fox,Author,The Myth of the Rational Market,28-Jan-1964,-
Kerry Fox,Actor,An Angel at My Table,30-Jul-1966,-
Laurence Fox,Actor,DS Hathaway on Inspector Lewis,1978,-
Liam Fox,Politician,UK Conservative Party Co-Chair,22-Sep-1961,-
Marye Anne Fox,Educator,"Chancellor, UC San Diego",09-Dec-1947,-
Matthew Fox,Actor,Jack on Lost,14-Jul-1966,-
Matthew Fox,Religion,Creation Spirituality,21-Dec-1940,-
Megan Fox,Actor,Sydney Shanowski on Hope and Faith,16-May-1986,-
Michael J. Fox,Actor,Back to the Future,09-Jun-1961,-
Nellie Fox,Baseball,MLB Hall of Famer,25-Dec-1927,01-Dec-1975
Richard K. Fox,Diplomat,"US Ambassador to Trinidad, 1977-79",22-Oct-1925,-
Rick Fox,Basketball,Former Los Angeles Laker,24-Jul-1969,-
Sam Fox,Business,US Ambassador to Belgium,09-May-1929,-
Samantha Fox,Pornstar,Pornstar cum mediocre singer,03-Dec-1951,-
Vicente Fox,Head of State,"President of Mexico, 2000-06",02-Jul-1942,-
Virgil Fox,Organist,Organist at the Riverside Church,03-May-1912,25-Oct-1980
Vivica Fox,Actor,Booty Call,30-Jul-1964,-
William Fox,Film/TV Producer,Founder of 20th Century Fox,01-Jan-1879,08-May-1952
John Foxe,Religion,Foxe's Book of Martyrs,1516,18-Apr-1587
Jaimee Foxworth,Actor,Family Matters,17-Dec-1979,-
Robert Foxworth,Actor,Chase Gioberti on Falcon Crest,01-Nov-1941,-
Jeff Foxworthy,Comic,Just might be a redneck,06-Sep-1958,-
Jamie Foxx,Comic,Ray,13-Dec-1967,-
Jimmie Foxx,Baseball,"Seven-time All Star, 534 home runs",22-Oct-1907,21-Jul-1967
Redd Foxx,Comic,"Foul-mouthed comedian, Sanford and Son",09-Dec-1922,11-Oct-1991
Virginia Foxx,Politician,"Congresswoman, North Carolina 5th",29-Jun-1943,-
Eddie Foy,Singer,The Seven Little Foys,09-Mar-1856,16-Feb-1928
"Eddie Foy, Jr.",Actor,The Pajama Game,04-Feb-1905,15-Jul-1983
A. J. Foyt,Auto Racing,Four-time winner of Indy 500,16-Jan-1935,-
Russell J. Frackman,Attorney,"RIAA, MPAA Attorney",c. 1945,-
Mikhail Fradkov,Head of State,"Prime Minister of Russia, 2004-07",01-Sep-1950,-
Marshall Frady,Journalist,Wallace,11-Jan-1940,09-Mar-2004
Jean-Honoré Fragonard,Painter,The Swing,05-Apr-1732,22-Aug-1806
Sheila Frahm,Politician,"US Senator from Kansas, 1996",22-Mar-1945,-
James Frain,Actor,Sunshine,14-Mar-1968,-
Nikolai Fraiture,Bassist,Bassist for The Strokes,13-Nov-1978,-
Michael D. Fraizer,Business,CEO of Genworth Financial,c. 1958,-
Ford M. Fraker,Business,US Ambassador to Saudi Arabia,c. 1949,-
Jonathan Frakes,Actor,Commander Riker on Star Trek: TNG,19-Aug-1952,-
Janet Frame,Author,"Kiwi author, subject of An Angel at My Table",28-Aug-1924,29-Jan-2004
Peter Frampton,Musician,Do You Feel Like We Do,22-Apr-1950,-
Michael G. Franc,Government,Heritage Foundation,c. 1957,-
Anatole France,Novelist,French novelist,16-Apr-1844,13-Oct-1924
"Bill France, Jr.",Auto Racing,"CEO of NASCAR, 1972-2003",04-Apr-1933,04-Jun-2007
Brian France,Auto Racing,Chairman and CEO of NASCAR,02-Aug-1962,-
Victor Francen,Actor,Confidential Agent,05-Aug-1888,18-Nov-1977
Zino Francescatti,Violinist,French violin virtuoso,09-Aug-1902,17-Sep-1991
Louise L. Francesconi,Business,Raytheon Missile Systems,c. 1954,-
Dennis Franchione,Football,"Texas A&M Head Coach, 2003-07",28-Mar-1951,-
Dario Franchitti,Auto Racing,Two-time Indianapolis 500 winner,10-May-1973,-
Anne Francine,Actor,"Stage actress, Vera Charles in MAME",08-Aug-1917,03-Dec-1999
Tony Franciosa,Actor,A Face in the Crowd,25-Oct-1928,19-Jan-2006
St. Francis de Sales,Religion,Order of the Visitation of Holy Mary,21-Aug-1567,28-Dec-1622
Francis I,Royalty,King of France 1515-47,12-Sep-1494,31-Jul-1547
Francis II,Royalty,King of France 1559-60,19-Jan-1544,05-Dec-1560
St. Francis of Assisi,Religion,Founder of the Franciscan order,1181,03-Oct-1226
Anne Francis,Actor,Forbidden Planet,16-Sep-1930,02-Jan-2011
Arlene Francis,Actor,What's My Line?,20-Oct-1907,31-May-2001
Connie Francis,Singer,Where the Boys Are,12-Dec-1938,-
Dick Francis,Novelist,Dead Cert,31-Oct-1920,14-Feb-2010
Freddie Francis,Film Director,Dracula Has Risen from the Grave,22-Dec-1917,17-Mar-2007
Genie Francis,Actor,Laura Spencer on General Hospital,26-May-1962,-
Kay Francis,Actor,Trouble in Paradise,13-Jan-1905,26-Aug-1968
L. Frederick Francis,Business,"Chairman, Bank of the West El Paso",c. 1954,-
Peter T. Francis,Business,J. M. Huber Corporation,c. 1953,-
Philip L. Francis,Business,CEO of PetSmart,c. 1946,-
Robert Francis,Actor,The Caine Mutiny,26-Feb-1930,31-Jul-1955
Sam Francis,Painter,Abstract expressionist,25-Jun-1923,04-Nov-1994
wiL Francis,Singer,Lead singer of Aiden,08-Jan-1982,-
Joseph S. Francisco,Chemist,Atmospheric chemist,1955,-
James Franciscus,Actor,Mr. Novak,31-Jan-1934,08-Jul-1991
César Franck,Composer,Symphonic Variations,10-Dec-1822,08-Nov-1890
James Franck,Physicist,Franck-Hertz experiment,26-Aug-1882,21-May-1964
Sebastian Franck,Religion,German freethinker,c. 1499,c. 1542
Don Francks,Actor,Walter on La Femme Nikita,28-Feb-1932,-
Dave Franco,Actor,Cole Aaronson on Scrubs,12-Jun-1985,-
Francisco Franco,Head of State,"Spanish Generalissimo, 1939-75",04-Dec-1892,20-Nov-1975
James Franco,Actor,Freaks and Geeks,19-Apr-1978,-
Jesus Franco,Film Director,Vampyros Lesbos,12-May-1930,-
Déborah François,Actor,L'enfant,24-May-1987,-
Terry Francona,Baseball,"Former manager, Boston Red Sox",22-Apr-1959,-
Anne Frank,Victim,The Diary of Anne Frank,12-Jun-1929,Mar-1945
Barney Frank,Politician,"Congressman, Massachusetts 4th",31-Mar-1940,-
Bruno Frank,Playwright,Storm in a Teacup,13-Jun-1878,20-Jun-1945
Hans Frank,Military,Nazi King of Poland,23-May-1900,16-Oct-1946
Ilya M. Frank,Physicist,Cherenkov radiation,23-Oct-1908,22-Jun-1990
Jason David Frank,Actor,Mighty Morphin' Power Rangers,04-Sep-1973,-
Lawrence Frank,Basketball,"Head Coach, Detroit Pistons",23-Aug-1970,-
Leo Frank,Victim,"Innocent man, lynched by mob",17-Apr-1884,17-Aug-1915
Melvin Frank,Screenwriter,A Touch of Class,13-Aug-1913,13-Oct-1988
Milton Frank,Diplomat,"US Ambassador to Nepal, 1988-89",18-Nov-1919,13-Jan-1993
Otto Frank,Relative,Father of Anne Frank,12-May-1889,19-Aug-1980
Ralph Frank,Diplomat,"US Ambassador to Croatia, 2003-06",?,-
Stephen E. Frank,Business,"CEO of Southern California Edison, 1995-2002",c. 1942,-
Thomas Frank,Author,"Founding editor, The Baffler",21-Mar-1965,-
Waldo Frank,Author,American cultural critic and social historian,25-Aug-1889,09-Jan-1967
Walter N. Frank,Business,"Chairman of the NYSE, 1965-67",22-Apr-1908,15-Feb-2000
Ze Frank,Blogger,The Show with Ze Frank,31-Mar-1972,-
Garance Franke-Ruta,Columnist,"Senior Editor, The American Prospect",c. 1975,-
David Frankel,Film Director,The Devil Wears Prada,02-Apr-1959,-
Jeffrey A. Frankel,Economist,"Council of Economic Advisers, 1997-99",05-Nov-1952,-
Al Franken,Politician,US Senator from Minnesota,21-May-1951,-
Steve Franken,Actor,"Chatsworth Osborne, Jr. on Dobie Gillis",27-May-1932,-
Robert J. Frankenberg,Business,"CEO of Novell, 1994-96",c. 1947,-
John Frankenheimer,Film Director,Seven Days in May,19-Feb-1930,06-Jul-2002
Helen Frankenthaler,Painter,Mountains and Sea,12-Dec-1928,27-Dec-2011
Felix Frankfurter,Judge,"US Supreme Court Justice, 1939-62",15-Nov-1882,22-Feb-1965
Aretha Franklin,Singer,R-E-S-P-E-C-T,25-Mar-1942,-
Barbara Hackman Franklin,Government,"US Secretary of Commerce, 1992-93",19-Mar-1940,-
Benjamin Franklin,Diplomat,American founding father,17-Jan-1706,17-Apr-1790
Bonnie Franklin,Actor,Ann Romano on One Day at a Time,06-Jan-1944,-
Carl Franklin,Film Director,Out of Time,11-Apr-1949,-
Don Franklin,Actor,Cmdr. Jonathan Ford on Seaquest DSV,14-Dec-1960,-
Joe Franklin,Talk Show Host,Pioneer talk show host,09-Mar-1926,-
John Hope Franklin,Historian,From Slavery to Freedom,02-Jan-1915,25-Mar-2009
Kirk Franklin,Singer,The Nu Nation Project,26-Jan-1970,-
Martin E. Franklin,Business,CEO of Jarden,31-Oct-1964,-
Melvin Franklin,Singer,Bass vocals for The Temptations,12-Oct-1942,23-Feb-1995
Missy Franklin,Swimmer,Olympic swimmer,10-May-1995,-
Pamela Franklin,Actor,The Prime of Miss Jean Brodie,03-Feb-1950,-
Rosalind Franklin,Chemist,Photographed DNA's structure,25-Jul-1920,16-Apr-1958
Shirley Franklin,Politician,"Mayor of Atlanta, 2002-10",10-May-1945,-
Sidney Franklin,Film Director,The Good Earth,21-Mar-1893,18-May-1972
Bob Franks,Politician,"Congressman from New Jersey, 1993-2001",21-Sep-1951,09-Apr-2010
"Frederick M. Franks, Jr.",Military,Retired US Army General,c. 1935,-
Gary Franks,Politician,"Congressman from Connecticut, 1991-97",09-Feb-1953,-
Tommy Franks,Military,"Former C-in-C, US Central Command",17-Jun-1945,-
Trent Franks,Politician,"Congressman, Arizona 2nd",19-Jun-1957,-
Bob Frankston,Computer Programmer,Programmer of Visicalc,14-Jun-1949,-
Mary Frann,Actor,Joanna Loudon on Newhart,27-Feb-1943,23-Sep-1998
Michael Franti,Musician,Disposable Heroes of Hiphoprisy,21-Apr-1967,-
Adrienne Frantz,Actor,The Bold and the Beautiful,07-Jun-1978,-
Chris Frantz,Drummer,Drummer for Talking Heads,08-May-1951,-
Gene J. Frantz,Business,"Partner, Texas Pacific Group",c. 1967,-
Arthur Franz,Actor,The Sniper,29-Feb-1920,17-Jun-2006
Dennis Franz,Actor,Det. Sipowicz on NYPD Blue,28-Oct-1944,-
Eduard Franz,Actor,The Four Skulls of Jonathan Drake,31-Oct-1902,10-Feb-1983
Jonathan Franzen,Author,The Corrections,17-Aug-1959,-
Daniel Franzese,Actor,Kill Theory,09-May-1978,-
Richard D. Frasch,Business,Senior VP at Cargill,c. 1954,-
Andy Fraser,Bassist,Free,07-Aug-1952,-
Bill Fraser,Actor,Claude Snudge,05-Jun-1908,05-Sep-1987
Brendan Fraser,Actor,The Mummy,03-Dec-1968,-
Dawn Fraser,Swimmer,Olympic gold medal swimmer,04-Sep-1937,-
Dod A. Fraser,Business,Sackett Partners,c. 1950,-
Donald M. Fraser,Politician,"Mayor of Minneapolis, 1980-93",20-Feb-1924,-
Elizabeth Fraser,Singer,Vocalist for Cocteau Twins,29-Aug-1963,-
Laura Fraser,Actor,Virtual Sexuality,24-Jul-1976,-
Mad Frankie Fraser,Criminal,Notorious British bank robber,13-Dec-1923,-
Malcolm Fraser,Politician,"Prime Minister of Australia, 1975-83",21-May-1930,-
Peter Fraser,Head of State,"Prime Minister of New Zealand, 1940-49",28-Aug-1884,05-Aug-1950
Phyllis Fraser,Socialite,Wife of Bennett Cerf,22-Jun-1911,24-Nov-2006
T. R. Fraser,Scientist,Made poison and venom into medicine,05-Feb-1841,04-Jan-1920
Claire M. Fraser-Liggett,Biologist,Genomic researcher,c. 1955,-
Mike Fratello,Basketball,"NBA Coach, commentator",24-Feb-1947,-
Tony Fratto,Government,Deputy White House Press Secretary,c. 1966,-
Mark Frauenfelder,Blogger,"Boing Boing, Make magazine",?,-
William Frawley,Actor,Fred on I Love Lucy,26-Feb-1887,03-Mar-1966
Sir James Frazer,Anthropologist,The Golden Bough,01-Jan-1854,07-May-1941
Jendayi E. Frazer,Diplomat,"US Asst. Secy. of State for Africa, 2005-09",?,-
Frank Frazetta,Painter,Painted Conan paperback covers,09-Feb-1928,10-May-2010
"A. D. Frazier, Jr.",Business,CEO of Danka Business Systems,c. 1944,-
E. Franklin Frazier,Sociologist,Black Bourgeoisie,24-Sep-1894,17-May-1962
Joe Frazier,Boxing,Smokin' Joe,12-Jan-1944,07-Nov-2011
Kenneth C. Frazier,Business,President of Merck & Co.,1954,-
Lynn J. Frazier,Politician,Governor and Senator from North Dakota,21-Dec-1874,11-Jan-1947
Walt Frazier,Basketball,New York Knicks hall of famer,29-Mar-1945,-
J. Allen Frear,Politician,"US Senator from Delaware, 1949-61",07-Mar-1903,15-Jan-1993
Stephen Frears,Film Director,My Beautiful Laundrette,20-Jun-1941,-
Frank Kelly Freas,Artist,Illustrator of science fiction and fantasy,22-Aug-1922,02-Jan-2005
Stan Freberg,Comic,Radio's The Stan Freberg Show,07-Aug-1926,-
Maurice Fréchet,Mathematician,Fréchet differential,02-Sep-1878,04-Jun-1973
Leslie M. Frécon,Business,"LFE Capital, LLC",c. 1953,-
Riccardo Freda,Film Director,I Vampiri,24-Feb-1909,20-Dec-1999
David Freddoso,Journalist,National Review Online,c. 1976,-
King Frederick I,Royalty,"King of Germany, Barbarossa",c. 1122,10-Jun-1190
Frederick IX,Royalty,"King of Denmark, 1947-72",11-Mar-1899,14-Jan-1972
Frederick the Great,Royalty,King of Prussia 1740-86,24-Jan-1712,17-Aug-1786
Frederick VIII,Royalty,"King of Denmark, 1906-12",03-Jun-1843,14-May-1912
Lynne Frederick,Actor,The Prisoner of Zenda,25-Jul-1954,27-Apr-1994
Pauline Frederick,Actor,This Modern Age,12-Aug-1883,19-Sep-1938
Pauline Frederick,Journalist,ABC and NBC reporter,13-Feb-1906,09-May-1990
"W. D. Frederick, Jr.",Business,"Mayor of Orlando, 1980-92",06-Jul-1934,-
J. Richard Fredericks,Business,"US Ambassador to Switzerland, 1999-2001",1945,-
Prince Frederik,Royalty,Heir to the throne of Denmark,26-May-1968,-
Lars Frederiksen,Musician,Rancid and The Bastards,23-May-1969,-
Alan Freed,Disc Jockey,Legendary rock-and-roll DJ,15-Dec-1922,20-Jan-1965
Arthur Freed,Film/TV Producer,"MGM producer, big budget musicals",09-Sep-1894,12-Apr-1973
Bert Freed,Actor,Rufe Ryker on Shane,03-Nov-1919,02-Aug-1994
Daniel J. Freed,Educator,Yale Law professor,12-May-1927,17-Jan-2010
A. Stone Freedberg,Doctor,Found H. Pylori near stomach ulcers,30-May-1908,25-Aug-2009
Allen R. Freedman,Business,"CEO of Assurant, 1979-2000",c. 1940,-
Eugene M. Freedman,Business,Coopers & Lybrand,c. 1932,-
Louis Freeh,Government,"FBI Director, 1993-2001",06-Jan-1950,-
"Al Freeman, Jr.",Actor,Malcolm X,21-Mar-1934,10-Aug-2012
Bradford M. Freeman,Business,Freeman Spogli & Co.,1942,-
Cassidy Freeman,Actor,Tess Mercer on Smallville,22-Apr-1982,-
Cathy Freeman,Track and Field,Olympic 400m gold medalist,16-Feb-1973,-
Charles E. Freeman,Judge,"Justice, Illinois Supreme Court",12-Dec-1933,-
"Charles W. Freeman, Jr.",Diplomat,"US Ambassador to Saudi Arabia, 1989-92",1943,-
Howard Freeman,Actor,Theatre and character actor,09-Dec-1899,11-Dec-1967
James I. Freeman,Business,CFO of Dillard's,c. 1949,-
Jennifer Freeman,Actor,My Wife and Kids,20-Oct-1985,-
Joan Freeman,Actor,Panic in Year Zero!,08-Jan-1942,-
John R. Freeman,Engineer,Charles River Dam,27-Jul-1855,06-Oct-1932
Kathleen Freeman,Actor,Gen. Burkhalter's sister,17-Feb-1919,23-Aug-2001
Martin Freeman,Actor,Tim on The Office,08-Sep-1971,-
Mona Freeman,Actor,Streets of Laredo,09-Jun-1926,-
Morgan Freeman,Actor,Unforgiven,01-Jun-1937,-
Orville L. Freeman,Politician,"Governor of Minnesota, 1955-61",09-May-1918,20-Feb-2003
Paul Freeman,Actor,Raiders of the Lost Ark,18-Jan-1943,-
Richard Freeman,Economist,Labor economist,29-Jun-1943,-
Russell Freeman,Diplomat,"US Ambassador to Belize, 2001-05",25-Oct-1939,-
William M. Freeman,Business,"CEO of Arbinet-thexchange, 2004-05",c. 1952,-
Paul Frees,Actor,The Man of a Thousand Voices,22-Jun-1920,02-Nov-1986
Josh Freese,Drummer,Session drummer,25-Dec-1972,-
Robin Freestone,Business,CFO of Pearson,c. 1959,-
Gottlob Frege,Mathematician,Mathematical logician,08-Nov-1848,26-Jul-1925
Hugo Fregonese,Film Director,Old Shatterhand,08-Apr-1908,17-Jan-1987
Jim Fregosi,Baseball,Former MLB Manager,04-Apr-1942,-
Ace Frehley,Guitarist,"Lead guitarist, KISS",27-Apr-1951,-
Eduardo Frei,Head of State,"President of Chile, 1994-2000",24-Jun-1942,-
Steven J. Freiberg,Business,"Global Consumer Group, Citigroup",c. 1957,-
Cyrus F. Freidheim,Business,"CEO of Sun Times Media Group, 2006-09",c. 1936,-
John Freind,Doctor,The History of Physic,1675,26-Jul-1728
J. P. Freire,Journalist,"Managing Editor, The American Spectator",c. 1982,-
Roland Freisler,Government,Headed the Reich Ministry of Justice,30-Oct-1893,03-Feb-1945
Friz Freleng,Cartoonist,The Pink Panther,21-Aug-1906,26-May-1995
Frederick T. Frelinghuysen,Government,"US Secretary of State, 1881-85",04-Aug-1817,20-May-1885
"Peter Frelinghuysen, Jr.",Politician,"Congressman from New Jersey, 1953-75",17-Jan-1916,23-May-2011
Rodney Frelinghuysen,Politician,"Congressman, New Jersey 11th",29-Apr-1946,-
Jessie Fremont,Relative,Wife of John C. Fremont,31-May-1824,27-Dec-1902
John C. Fremont,Explorer,Conqueror of California,21-Jan-1813,13-Jul-1890
Edmond Frémy,Chemist,Discovered hydrogen fluoride,28-Feb-1814,03-Feb-1894
Daniel Chester French,Sculptor,Lincoln Memorial,20-Apr-1850,07-Oct-1931
Dawn French,Comic,French and Saunders,11-Oct-1957,-
Marilyn French,Author,The Women's Room,21-Nov-1929,02-May-2009
R. T. French,Business,Yellow mustard,15-Nov-1828,17-Jun-1893
Victor French,Actor,Highway to Heaven,04-Dec-1934,15-Jun-1989
William E. Frenzel,Politician,"Congressman from Minnesota, 1971-91",31-Jul-1928,-
Girolamo Frescobaldi,Composer,Italian organist and composer,1583,01-Mar-1643
Carl Remigius Fresenius,Chemist,Anleitung zur qualitativen chemischen Analyse,28-Dec-1818,11-Jun-1897
Doug E. Fresh,Rapper,Rap artist,17-Sep-1966,-
Mannie Fresh,Disc Jockey,"DJ, hip hop artist, producer",20-Mar-1969,-
Augustin-Jean Fresnel,Physicist,"Optician, invented Fresnel lens",10-May-1788,14-Jul-1827
Anna Freud,Relative,Daughter of Sigmund Freud,03-Dec-1895,09-Oct-1982
Sigmund Freud,Psychiatrist,Die Traumdeutung,06-May-1856,23-Sep-1939
Dave Freudenthal,Politician,"Governor of Wyoming, 2003-11",12-Oct-1950,-
Bart Freundlich,Film Director,The Myth of Fingerprints,17-Jan-1970,-
Matt Frewer,Actor,Max Headroom,04-Jan-1958,-
Amber Frey,Relative,Ex-Mistress of Scott Peterson,10-Feb-1975,-
Glenn Frey,Musician,"Lead vocals and guitar, Eagles",06-Nov-1948,-
James Frey,Author,"Addiction memoirist, A Million Little Pieces",12-Sep-1969,-
Leonard Frey,Actor,"Stage actor, The Boys in the Band",04-Sep-1938,24-Aug-1988
Paul J. Fribourg,Business,CEO of ContiGroup,1954,-
Henry Clay Frick,Business,"Robber baron, Johnstown flood",19-Dec-1849,02-Dec-1919
Wilhelm Frick,Government,Authored the Nuremberg Laws,12-Mar-1877,16-Oct-1946
Brenda Fricker,Actor,My Left Foot,17-Feb-1945,-
William P. Fricks,Business,"CEO of Newport News Shipbuilding, 1995-2001",c. 1944,-
Jonathan Frid,Actor,Dark Shadows,02-Dec-1924,14-Apr-2012
"Albert Fried, Jr.",Business,Albert Fried & Company,c. 1930,-
Alfred Fried,Activist,"Peace activist, Nobel Prize recipient",11-Nov-1864,05-May-1921
Charles Fried,Government,"US Solicitor General, 1985-89",15-Apr-1935,-
Daniel Fried,Diplomat,US Asst. Secy. of State for European Affairs,1952,-
Betty Friedan,Activist,Rights for women spokesperson,04-Feb-1921,04-Feb-2006
Aaron L. Friedberg,Government,In the Shadow of the Garrison State,16-Apr-1956,-
John R. Friedery,Business,VP at Ball Corporation,c. 1956,-
Ralph Friedgen,Football,Maryland Terrapins Head Coach,04-Apr-1947,-
Hugo Friedhofer,Composer,The Best Years of Our Lives,03-May-1901,17-May-1981
William Friedkin,Film Director,The Exorcist,29-Aug-1935,-
Judah Friedlander,Comic,"Baseball-capped comedian, 30 Rock",16-Mar-1969,-
Saul Friedländer,Historian,Holocaust historian,11-Oct-1932,-
Will Friedle,Actor,Eric Matthews on Boy Meets World,11-Aug-1976,-
Drew Friedman,Cartoonist,Celebrity pointillist,21-Sep-1958,-
Elizebeth Friedman,Scientist,America's first female cryptanalyst,26-Aug-1892,31-Oct-1980
Jerome I. Friedman,Physicist,Verified existence of quarks,28-Mar-1930,-
Kinky Friedman,Musician,Texas Jewboy,31-Oct-1944,-
Michael A. Friedman,Doctor,"Oncologist, City of Hope",c. 1944,-
Milton Friedman,Economist,1976 Nobel Prize for Economics,31-Jul-1912,16-Nov-2006
Paul A. Friedman,Business,CEO of Incyte,c. 1942,-
Robert L. Friedman,Business,"Managing Partner, Blackstone Group",c. 1942,-
Stephen Friedman,Business,"Former Partner, Goldman Sachs",21-Dec-1937,-
Thomas Friedman,Journalist,New York Times,20-Jul-1953,-
Tully M. Friedman,Business,Hellman & Friedman,c. 1941,-
William Friedman,Scientist,Cryptography pioneer,24-Sep-1891,12-Nov-1969
Caspar David Friedrich,Painter,German Romantic painter,05-Sep-1774,07-May-1840
Anna Friel,Actor,Timeline,12-Jul-1976,-
Brian Friel,Playwright,Dancing at Lughnasa,09-Jan-1929,-
Robert F. Friel,Business,Vice Chairman of PerkinElmer,c. 1956,-
Colin Friels,Actor,Det. Holloway on Water Rats,25-Sep-1952,-
Rupert Friend,Actor,Pride & Prejudice,01-Oct-1981,-
Fred Friendly,Journalist,"President of CBS News, 1964-66",30-Oct-1915,03-Mar-1998
Daniel K. Frierson,Business,CEO of The Dixie Group,1942,-
William L. Frierson,Government,"US Solicitor General, 1920-21",03-Sep-1868,25-May-1953
Michael T. Fries,Business,CEO of Liberty Global,06-Feb-1963,-
Foster Friess,Business,Friess Associates,02-Apr-1940,-
Henry F. Frigon,Business,"CEO of CARSTAR, Inc., 1998-2001",c. 1936,-
Rudolf Friml,Composer,The Vagabond King,07-Dec-1884,12-Nov-1972
